15,13,16,12,10,5,11,10,15,10,15,0
16,11,16,12,10,15,11,10,15,10,13,0
14,12,16,12,10,5,11,10,15,10,12,0
17,14,15,12,10,10,11,10,15,10,10,0
12,15,16,12,10,5,11,10,15,10,15,1
15,18,16,12,10,5,11,10,15,10,15,1
15,16,16,12,10,5,11,10,15,10,15,1
15,17,16,12,10,5,11,10,15,10,15,1
15,16,16,12,10,5,11,10,15,10,15,1
15,11,16,12,10,5,11,10,15,10,15,2
12,10,15,12,10,5,11,10,15,10,15,2
13,10,18,12,10,5,11,10,15,10,15,2
15,9,19,12,10,5,11,10,15,10,15,2
13,11,17,12,10,5,11,10,15,10,15,2
12,12,13,17,10,5,11,10,15,10,15,3
12,11,14,18,10,5,11,10,15,10,15,3
13,14,14,17,10,5,11,10,15,10,15,3
12,12,13,14,10,5,11,10,15,10,15,3
11,11,13,16,10,5,11,10,15,10,15,3
